briefDescription,description,functionSummary,chromosome,ORF,Gene,phenotypeSummary,orf_strand,end,start,Gene_ORF
5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS2 has a paralog, PRS4, that arose from the whole genome duplication","Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity",chrV,YER099C,PRS2,,-1,359061,358105,PRS2
5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease","Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity",chrXI,YKL181W,PRS1,,1,108599,107316,PRS1
"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP; which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS4 has a paralog, PRS2, that arose from the whole genome duplication; a missense mutation in the conserved residue R196 of its human homolog PRPS1 is pathogenic","Subunit of a PRPP synthetase complex, which synthesizes 5-phosphoribose 1-diphosphate and is important for cell wall integrity",chrII,YBL068W,PRS4,,1,93394,92414,PRS4
5S ribosomal RNA (5S rRNA),5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; may play a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE,,chrXII,RDN5-1,RDN5-1,,1,459796,459676,RDN5-1
5' to 3' DNA helicase,5' to 3' DNA helicase; involved in nucleotide excision repair and transcription; subunit of RNA polII initiation factor TFIIH and of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress,"ATP-dependent 5'-3' DNA helicase involved in transcription by polymerase II and positive regulation of mitotic recombination; contributes to DNA incision involved in nucleotide-excision repair, phosphorylation of RNA polymerase II C-terminal domain, regulation of RNA-mediated transposition; subunit of core TFIIH complex",chrV,YER171W,RAD3,"Essential gene; point mutations result in increased mitotic recombination, elevated mutation frequence, and increased UV sensititvity
",1,529418,527082,RAD3
"5' to 3' exonuclease, 5' flap endonuclease","5' to 3' exonuclease, 5' flap endonuclease; required for Okazaki fragment processing and maturation, for long-patch base-excision repair and large loop repair (LLR), ribonucleotide excision repair; member of the S. pombe RAD2/FEN1 family; relocalizes to the cytosol in response to hypoxia","5-3 exonuclease and 5-flap endonuclease involved in base-free sugar phosphate removal as a part of base-excision repair, DNA repair synthesis during gene conversion at the mating-type locus, removal of RNA primers during DNA replication, maintenance of DNA trinucleotide repeats, and non-homologous end joining; also involved in replicative cell aging; localizes to the nucleus, mitochondrion, and cytosol",chrXI,YKL113C,RAD27,"Non-essential gene; null mutant displays sensitivity to agents affecting DNA metabolism such as 5-fluorouracil, MMS, and UV light; null mutant has elevated mutation frequency, decreased replicative lifespan, and abnormal nuclear morphology; in large-scale studies null mutant displays decreased competitive fitness, chronological lifespan, and filamentous growth, and is sensitive to heat, oxidative stress, metals, and various chemicals
",-1,225875,224727,RAD27
6-phosphofructo-2-kinase,"6-phosphofructo-2-kinase; catalyzes synthesis of fructose-2,6-bisphosphate; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate, expression induced by glucose and sucrose, transcriptional regulation involves protein kinase A",,chrXV,YOL136C,PFK27,,-1,68754,67561,PFK27
6-phosphofructo-2-kinase,"6-phosphofructo-2-kinase; inhibited by phosphoenolpyruvate and sn-glycerol 3-phosphate; has negligible fructose-2,6-bisphosphatase activity; transcriptional regulation involves protein kinase A",,chrIX,YIL107C,PFK26,,-1,165761,163278,PFK26
6-phosphogluconate dehydrogenase (decarboxylating),"6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone and adaptation to oxidative stress; GND1 has a paralog, GND2, that arose from the whole genome duplication",Phosphogluconate dehydrogenase (decarboxylating); involved in the oxidative branch of the pentose phosphate pathway; localizes to the cytoplasm and mitochondrion in high-throughput studies,chrVIII,YHR183W,GND1,,1,472429,470960,GND1
6-phosphogluconate dehydrogenase (decarboxylating),"6-phosphogluconate dehydrogenase (decarboxylating); catalyzes an NADPH regenerating reaction in the pentose phosphate pathway; required for growth on D-glucono-delta-lactone; GND2 has a paralog, GND1, that arose from the whole genome duplication",,chrVII,YGR256W,GND2,,1,1006102,1004624,GND2
6-phosphogluconolactonase,"6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and Sol1p; SOL3 has a paralog, SOL4, that arose from the whole genome duplication",6-phosphogluconolactonase involved in the oxidative branch of the pentose-phosphate shunt; localizes to both the nucleus and cytoplasm,chrVIII,YHR163W,SOL3,,1,424473,423724,SOL3
6-phosphogluconolactonase,"6-phosphogluconolactonase; protein abundance increases in response to DNA replication stress; SOL4 has a paralog, SOL3, that arose from the whole genome duplication",6-phosphogluconolactonase involved in oxidative branch of pentose-phosphate shunt; localizes to both nucleus and cytoplasm,chrVII,YGR248W,SOL4,,1,986739,985972,SOL4
73 kDa subunit of the SWI/SNF chromatin remodeling complex,"73 kDa subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; relocates to the cytosol under hypoxic conditions; deletion mutants are temperature-sensitive; SNF12 has a paralog, RSC6, that arose from the whole genome duplication",,chrXIV,YNR023W,SNF12,,1,672118,670418,SNF12
"7,8-diamino-pelargonic acid aminotransferase (DAPA)","7,8-diamino-pelargonic acid aminotransferase (DAPA); catalyzes the second step in the biotin biosynthesis pathway; BIO3 is in a cluster of 3 genes (BIO3, BIO4, and BIO5) that mediate biotin synthesis; BIO3 and BIO4 were acquired by horizontal gene transfer (HGT) from bacteria",Adenosylmethionine-8-amino-7-oxononanoate transaminase involved in biotin biosynthesis,chrXIV,YNR058W,BIO3,"Non-essential gene; null mutant is auxotrophic for biotin, and displays increased competitive fitness in minimal medium, and respiratory growth medium; null mutant has reduced anaerobic growth during anoxia; heterozygous diploid null has decreased starvation resistance and is haploinsufficient",1,735733,734291,BIO3
8-oxo-dGTP diphosphatase,"8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1",Pyrophosphatase with possible roles in Coenzyme A metabolism and DNA repair; localized to peroxisomes,chrXII,YLR151C,PCD1,,-1,442737,441715,PCD1
8-oxo-dGTP diphosphatase of the Nudix hydrolase family,8-oxo-dGTP diphosphatase of the Nudix hydrolase family; converts diphosphates of damaged forms of thiamin to monophosphates; GST fusion protein is a Dbf2p-Mob1p phosphorylation target in a proteome chip analysis; synthetic lethal with PH085 deletion; plays a role in restricting Ty1 transposition,,chrX,YJR142W,,,1,698169,697141,YJR142W
AAA ATPase,"AAA ATPase; subunit of polyUb-selective segregase complex involved in ERAD, INM-associated degradation (INMAD), mitotic spindle disassembly, macroautophagy, PMN, ribosome-associated degradation, ribophagy, homotypic ER membrane fusion, SCF complex disassembly, cell wall integrity during heat stress, and telomerase regulation; mobilizes membrane-anchored transcription factors by regulated Ub/proteasome-dependent processing (RUP); human ortholog VCP complements a cdc48 mutant","ATPase, a component of several multiprotein ATPase complexes involved in the release of polyubiquitinated proteins; part of the ER-associated ubiquitin-dependent protein degradation system, stress-induced homeostatically regulated protein degradation (SHRED) pathway; also plays a role in mitotic spindle disassembly, autophagy, ER membrane fusion, retrograde protein transport; localized throughout the cell",chrIV,YDL126C,CDC48,"Essential gene; conditional mutations cause cell cycle arrest, abnormal cell morphology, aggregation of mitochondria, elongated spindles that fail to disassemble, sensitivity to cell wall-affecting drugs and oxidative stress; overexpression leads to slow growth
",-1,238664,236157,CDC48
AAA ATPase and SNARE disassembly chaperone,"AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)",,chrII,YBR080C,SEC18,"Essential gene; conditional mutants are defective in protein secretion and show abnormal ER morphology; overexpression in Sigma127b reduces filamentous/invasive growth
",-1,400890,398614,SEC18
AAA-ATPase involved in multivesicular body (MVB) protein sorting,AAA-ATPase involved in multivesicular body (MVB) protein sorting; ATP-bound Vps4p localizes to endosomes and catalyzes ESCRT-III disassembly and membrane release; ATPase activity is activated by Vta1p; regulates cellular sterol metabolism,"ATPase with homodimerization activity; involved in late endosome to vacuole transport via the multivesicular body sorting pathway, intralumenal vesicle formation, macroautophagy, sterol metabolism, and protein retention in the Golgi apparatus; localizes to the endosome and membrane",chrXVI,YPR173C,VPS4,"Non-essential gene; null mutant displays defective trafficking of MVB cargo proteins, missorting cargo to the limiting vacuolar membrane and class E compartment rather than the vacuolar lumen; null mutant has decreased endocytosis, secretion defects and abnormal vacuolar morphology; null mutant also displays decreased acid pH resistance, decreased autophagy and starvation resistance while a gain-of-function mutant induces autophagy in rich medium; overexpression results in increased invasive filamentation while a null mutant is unable to undergo invasive growth; diploid null mutants have a severe sporulation defect
",-1,887837,886524,VPS4
AAA-peroxin,AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death,Peroxisomal ATPase involved in replicative cell aging and the recycling of peroxisome targeting sequence receptors from cargo proteins back to the cytosol,chrXIV,YNL329C,PEX6,,-1,22633,19541,PEX6
AAA-peroxin,AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis; mutations in human PEX1 can lead to severe peroxisomal disorders and early death,Peroxisomal membrane ATPase involved in the recycling of peroxisome targeting sequence receptors from cargo proteins back to the cytosol,chrXI,YKL197C,PEX1,,-1,73865,70734,PEX1
ABC type transmembrane transporter of MRP/CFTR family,"ABC type transmembrane transporter of MRP/CFTR family; found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p",,chrXII,YLL015W,BPT1,"Non-essential gene; null mutant is auxotrophic for myo-inositol; null mutant displays decreased competitive fitness in minimal medium, respiratory growth medium and synthetic oak exudate but increased fitness in synthetic complete medium; null mutant displays increased survival following a ramped heat stimulus; null mutant has decreased resistance to lead treatment; heterozygous diploid null is haploinsufficient",1,121111,116432,BPT1
A cargo receptor protein for Pma1p,A cargo receptor protein for Pma1p; works with Psg1p to promote the transport and maturation of Pma1p; localizes to the ER and COPII vesicles; a non-essential protein,Protein whose biological role is unknown; localizes to the endoplasmic reticulum,chrIV,YDL121C,EXP1,,-1,245582,245133,EXP1
